Date,High,Low,Open,Close,Volume,Adj Close,Stock
2022-09-01,158.4199981689453,154.6699981689453,156.63999938964844,157.9600067138672,74229900,157.9600067138672,AAPL
2022-09-02,160.36000061035156,154.97000122070312,159.75,155.80999755859375,76905200,155.80999755859375,AAPL
2022-09-06,157.08999633789062,153.69000244140625,156.47000122070312,154.52999877929688,73714800,154.52999877929688,AAPL
2022-09-07,156.6699981689453,153.61000061035156,154.82000732421875,155.9600067138672,87449600,155.9600067138672,AAPL
2022-09-08,156.36000061035156,152.67999267578125,154.63999938964844,154.4600067138672,84923800,154.4600067138672,AAPL
2022-09-09,157.82000732421875,154.75,155.47000122070312,157.3699951171875,68028800,157.3699951171875,AAPL
2022-09-12,164.25999450683594,159.3000030517578,159.58999633789062,163.42999267578125,104956000,163.42999267578125,AAPL
2022-09-13,160.5399932861328,153.3699951171875,159.89999389648438,153.83999633789062,122656600,153.83999633789062,AAPL
2022-09-14,157.10000610351562,153.61000061035156,154.7899932861328,155.30999755859375,87965400,155.30999755859375,AAPL
2022-09-15,155.24000549316406,151.3800048828125,154.64999389648438,152.3699951171875,90481100,152.3699951171875,AAPL
2022-09-16,151.35000610351562,148.3699951171875,151.2100067138672,150.6999969482422,162157000,150.6999969482422,AAPL
2022-09-19,154.55999755859375,149.10000610351562,149.30999755859375,154.47999572753906,81474200,154.47999572753906,AAPL
2022-09-20,158.0800018310547,153.0800018310547,153.39999389648438,156.89999389648438,107689800,156.89999389648438,AAPL
2022-09-21,158.74000549316406,153.60000610351562,157.33999633789062,153.72000122070312,101696800,153.72000122070312,AAPL
2022-09-22,154.47000122070312,150.91000366210938,152.3800048828125,152.74000549316406,86652500,152.74000549316406,AAPL
2022-09-23,151.47000122070312,148.55999755859375,151.19000244140625,150.42999267578125,95939200,150.42999267578125,AAPL
2022-09-26,153.77000427246094,149.63999938964844,149.66000366210938,150.77000427246094,93339400,150.77000427246094,AAPL
2022-09-27,154.72000122070312,149.9499969482422,152.74000549316406,151.75999450683594,84442700,151.75999450683594,AAPL
2022-09-28,150.63999938964844,144.83999633789062,147.63999938964844,149.83999633789062,146691400,149.83999633789062,AAPL
2022-09-29,146.72000122070312,140.67999267578125,146.10000610351562,142.47999572753906,128138200,142.47999572753906,AAPL
2022-09-30,143.10000610351562,138.0,141.27999877929688,138.1999969482422,124705400,138.1999969482422,AAPL
2022-09-01,111.22000122070312,108.19000244140625,109.19999694824219,110.55000305175781,22784400,110.55000305175781,GOOG
2022-09-02,111.67500305175781,108.12999725341797,111.33999633789062,108.68000030517578,20601600,108.68000030517578,GOOG
2022-09-06,108.87999725341797,106.51000213623047,108.13500213623047,107.4800033569336,20565100,107.4800033569336,GOOG
2022-09-07,110.98999786376953,107.61499786376953,107.76000213623047,110.4800033569336,22987200,110.4800033569336,GOOG
2022-09-08,110.58000183105469,108.05999755859375,109.18000030517578,109.41999816894531,21660700,109.41999816894531,GOOG
2022-09-09,112.0,110.0,110.05000305175781,111.77999877929688,21732900,111.77999877929688,GOOG
2022-09-12,112.63999938964844,110.93000030517578,111.98999786376953,111.87000274658203,19732900,111.87000274658203,GOOG
2022-09-13,109.37000274658203,105.0,108.88999938964844,105.30999755859375,33015000,105.30999755859375,GOOG
2022-09-14,106.0999984741211,104.5,105.44000244140625,105.87000274658203,22115800,105.87000274658203,GOOG
2022-09-15,106.20999908447266,103.30999755859375,105.01000213623047,103.9000015258789,26494900,103.9000015258789,GOOG
2022-09-16,104.02999877929688,101.8550033569336,102.97000122070312,103.62999725341797,64518900,103.62999725341797,GOOG
2022-09-19,104.0199966430664,102.37000274658203,102.54000091552734,103.8499984741211,19738600,103.8499984741211,GOOG
2022-09-20,103.16999816894531,101.12000274658203,102.87999725341797,101.83000183105469,24001700,101.83000183105469,GOOG
2022-09-21,103.48999786376953,99.98999786376953,102.23999786376953,100.01000213623047,26596800,100.01000213623047,GOOG
2022-09-22,101.68000030517578,99.41000366210938,99.44999694824219,100.56999969482422,21272700,100.56999969482422,GOOG
2022-09-23,100.11000061035156,98.01000213623047,100.05999755859375,99.16999816894531,25645100,99.16999816894531,GOOG
2022-09-26,100.44000244140625,98.37999725341797,98.61000061035156,98.80999755859375,22437900,98.80999755859375,GOOG
2022-09-27,100.45999908447266,97.33999633789062,99.91000366210938,98.08999633789062,24225000,98.08999633789062,GOOG
2022-09-28,101.4000015258789,97.80000305175781,98.0199966430664,100.73999786376953,24617000,100.73999786376953,GOOG
2022-09-29,99.30000305175781,96.5199966430664,99.30000305175781,98.08999633789062,21921500,98.08999633789062,GOOG
2022-09-30,99.49400329589844,96.02999877929688,97.7300033569336,96.1500015258789,26248200,96.1500015258789,GOOG
